ATHLETE_ID,NAME,BIRTHDATE,COUNTRY_ID
1,Usain Bolt,1986-08-21,1
2,Michael Phelps,1985-06-30,1
3,Simone Biles,1997-03-14,3
4,Carl Lewis,1961-07-01,1
5,Katie Ledecky,1997-03-17,2
6,Kohei Uchimura,1989-01-03,4
7,Neeraj Chopra,1997-12-24,5
8,PV Sindhu,1995-07-05,5
9,Novak Djokovic,1987-05-22,6
10,Mo Farah,1983-03-23,7
11,Aly Raisman,1994-05-25,3
12,Yohan Blake,1989-12-26,1
13,Sun Yang,1991-12-01,8
14,Adam Peaty,1994-12-28,9
15,Eliud Kipchoge,1984-11-05,10
16,Kevin Durant,1988-09-29,2
17,Rafael Nadal,1986-06-03,6
18,Wayde van Niekerk,1992-07-15,7
19,Genzebe Dibaba,1991-02-08,10
20,Marcell Jacobs,1994-09-26,1
